route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
24-43,202501-MVS-Weekday-01,209440-202501-MVS-Weekday-01,"DOWNTOWN",1,12018,240009
24-43,202501-MVS-Weekday-01,209441-202501-MVS-Weekday-01,"AIRPORT",0,12016,240008
24-43,202501-MVS-Weekday-01,209442-202501-MVS-Weekday-01,"AIRPORT",0,12017,240008
24-43,202501-MVS-Weekday-01,209443-202501-MVS-Weekday-01,"AIRPORT",0,12016,240008
24-43,202501-MVS-Weekday-01,209444-202501-MVS-Weekday-01,"AIRPORT",0,12017,240008
24-43,202501-MVS-Weekday-01,209445-202501-MVS-Weekday-01,"AIRPORT",0,12016,240008
24-43,202501-MVS-Weekday-01,209446-202501-MVS-Weekday-01,"AIRPORT",0,12017,240008
24-43,202501-MVS-Weekday-01,209447-202501-MVS-Weekday-01,"AIRPORT",0,12016,240008
24-43,202501-MVS-Weekday-01,209448-202501-MVS-Weekday-01,"AIRPORT",0,12017,240008
24-43,202501-MVS-Weekday-01,209449-202501-MVS-Weekday-01,"AIRPORT",0,12016,240008
24-43,202501-MVS-Weekday-01,209450-202501-MVS-Weekday-01,"AIRPORT",0,12017,240008
24-43,202501-MVS-Weekday-01,209451-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209452-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209453-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209454-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209455-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209456-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209457-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209458-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209459-202501-MVS-Weekday-01,"AIRPORT",0,12019,240008
24-43,202501-MVS-Weekday-01,209460-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209461-202501-MVS-Weekday-01,"AIRPORT",0,12019,240008
24-43,202501-MVS-Weekday-01,209462-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209463-202501-MVS-Weekday-01,"AIRPORT",0,12019,240008
24-43,202501-MVS-Weekday-01,209464-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209465-202501-MVS-Weekday-01,"AIRPORT",0,12019,240008
24-43,202501-MVS-Weekday-01,209466-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209467-202501-MVS-Weekday-01,"AIRPORT",0,12019,240008
24-43,202501-MVS-Weekday-01,209468-202501-MVS-Weekday-01,"AIRPORT",0,12018,240008
24-43,202501-MVS-Weekday-01,209469-202501-MVS-Weekday-01,"AIRPORT",0,12019,240008
24-43,202501-MVS-Weekday-01,209470-202501-MVS-Weekday-01,"DOWNTOWN",1,12017,240009
24-43,202501-MVS-Weekday-01,209471-202501-MVS-Weekday-01,"DOWNTOWN",1,12016,240009
24-43,202501-MVS-Weekday-01,209472-202501-MVS-Weekday-01,"DOWNTOWN",1,12017,240009
24-43,202501-MVS-Weekday-01,209473-202501-MVS-Weekday-01,"DOWNTOWN",1,12016,240009
24-43,202501-MVS-Weekday-01,209474-202501-MVS-Weekday-01,"DOWNTOWN",1,12017,240009
24-43,202501-MVS-Weekday-01,209475-202501-MVS-Weekday-01,"DOWNTOWN",1,12016,240009
24-43,202501-MVS-Weekday-01,209476-202501-MVS-Weekday-01,"DOWNTOWN",1,12017,240009
24-43,202501-MVS-Weekday-01,209477-202501-MVS-Weekday-01,"DOWNTOWN",1,12016,240009
24-43,202501-MVS-Weekday-01,209478-202501-MVS-Weekday-01,"DOWNTOWN",1,12017,240009
24-43,202501-MVS-Weekday-01,209479-202501-MVS-Weekday-01,"DOWNTOWN",1,12016,240009
24-43,202501-MVS-Weekday-01,209480-202501-MVS-Weekday-01,"DOWNTOWN",1,12018,240009
24-43,202501-MVS-Weekday-01,209481-202501-MVS-Weekday-01,"DOWNTOWN",1,12018,240009
24-43,202501-MVS-Weekday-01,209482-202501-MVS-Weekday-01,"DOWNTOWN",1,12018,240009
